ts,uid,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,proto,session_state,up_linklength,up_applength,up_pkts,down_linklength,down_applength,down_pkts
1595272023,C7mGqkFy5Lre1gj36gXiPhb,10.1.193.36,61884,74:ea:c8:28:14:01,10.1.5.50,80,00:00:00:00:00:00,http,4,499,217,5,365,137,4
1595271989,CEvSqsb9irkhY0jZ5Qj86Ui,10.1.199.6,44354,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,5978,2842,58,141183,135347,108
1595271999,CpbtNYGA24tdg54tHo3vQJ,10.1.199.5,39740,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,5,2093,1171,17,34564,33102,27
1595271991,CHselXxXWc3aZVBIVOC0wB5,10.1.199.249,33592,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1327,243,20,37268,35536,32
1595272011,C5XjpI4ElT92CYS4xHTdz3a,10.1.196.27,48873,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,70,0,1
1595271708,CzhYkogv3eJ7nmd3gE3GRal,10.1.252.225,46588,74:ea:c8:28:14:01,192.168.255.1,53,00:0b:ab:f6:21:b5,unknown,4,378,42,6,328,88,4
1595271996,CeanCG6k03f7XkfymBhsoNe,10.1.199.248,48208,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,2557,231,43,756,644,2
1595271989,Cf2ZtJjN9yy4Ouu1C4eBZk,10.1.199.6,44360,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,3004,1758,23,38989,37257,32
1595272000,CXja23r4pjSaEE1aZUwXxg7,10.1.199.5,43900,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,924,380,10,58,0,1
1595272017,COohN4Ft2OgfjctqKOPZ0Gc,10.1.196.1,51797,00:25:90:5b:8f:d5,10.1.5.50,80,3c:8c:40:4e:dd:46,http,4,426,148,5,361,137,4
1595272009,C6DehWSAfu73aYR5RKlXCq7,10.1.199.249,54223,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,2112,326,33,98431,94647,70
1595272009,CejfZvvuF3Bf5oFeiQqtFHd,10.1.196.27,37351,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,70,0,1
1595272003,CUFSThdhWGm4MgTLtTfaOp5,10.1.199.6,55248,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,770,226,10,860,694,3
1595272015,CEdu8YbJNMrkSRkLJ52bQoe,10.1.199.5,59351,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,1053,185,16,22842,21434,26
1595271990,ChkJxoeqR128OKe1j9lpLZ7,10.1.196.27,43677,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,804,184,10,70,0,1
1595272001,CkwSlc0MQMtli5TK4u0Fujc,10.1.199.5,34528,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,643,369,5,349,129,4
1595272007,ChMSaSTzUuy5NNq85GENMv8,10.1.196.27,44844,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,580,176,6,715,447,4
1595272002,C6Lse8aYfAH5H6HpndzysR,10.1.199.248,54552,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,833,289,10,9590,9100,9
1595271989,C9LI6K1Zf5b2L46Z4dpkrvi,10.1.196.27,49318,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595271996,CwXjM9Rcr35kPBkw4a3azUd,10.1.196.27,44162,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595271992,CZTJqdLd3s75sRwi29kWpq6,10.1.196.27,38204,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272008,CPvUFHzHlEl9cmZvWXYPX55,10.1.196.27,59536,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,628,170,7,1220,1084,2
1595272012,CeuPQp2bAvFeMGFRCba3Stk,10.1.196.27,43314,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,1515,1379,2
1595272008,CVygjfeowsrfCxCeGUePuui,10.1.196.27,51752,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,799,179,10,70,0,1
1595271991,CKY9ITD8EqEiiTWndFM6rZ1,10.1.199.6,44400,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,4291,3099,22,39788,37948,34
1595272007,C4K0yoaM6uKiDkLtz5GCrfk,10.1.196.27,40486,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,804,184,10,70,0,1
1595271994,CzskaK39IzIaP76EFnFm5W2,10.1.199.248,30556,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,2282,280,37,775,663,2
1595271994,CDXtVEo2MiW1sm7Dn8KB68b,10.1.196.27,43517,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,577,173,6,669,401,4
1595272004,CuC3qErBrP44QofJhE6Cv21,10.1.199.6,54488,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,1485,347,21,5240,4750,9
1595271990,CXCEw88zEVq8AmMRXgzo3re,10.1.196.27,39375,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,791,171,10,70,0,1
1595272023,C1wok14lAZx5tNfMPx1jXtl,10.1.196.27,45291,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,1524,1388,2
1595271989,CSo7t5qN8I59Tq14cesiCgb,10.1.196.27,37772,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,1196,334,13,2187,1783,6
1595271992,C7nPtXWFRc3cEqAc6uiyPrf,10.1.196.27,43355,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,577,173,6,70,0,1
1595272011,Cx80aXqRiul16HDKxUef1i3,10.1.196.27,59833,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,625,167,7,70,0,1
1595272008,C0K8b8YEfHlaOpoIJIXyCW8,10.1.196.27,39312,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,678,166,8,740,604,2
1595272010,CHwJWgPZ9Sl1i1qopILLrz9,10.1.196.27,39467,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,578,174,6,669,401,4
